culture_group	color
Anglo	rgb(78,121,167)
Southern_Asia	rgb(242,142,44)
Latin_Europe	rgb(225,87,89)
Latin_America	rgb(118,183,178)
Eastern_Europe	rgb(89,161,79)
Germanic_Europe	rgb(237,201,73)
Confucian_Asia	rgb(175,122,161)
Arab	rgb(255,157,167)
Nordic_Europe	rgb(156,117,95)
Sub_Sahara_Africa	rgb(186,176,171)
